a	hế nhô
small	nhỏ, bé, chật
so	như thế, như vậy
sociable	hòa đồng
soft	dịu dàng
some	một ít, một vài, dăm ba
something	một điều gì đó, một việc gì đó, cái gì đó
sound	âm thanh, nghe như, nghe có vẻ
stadium	sân vân động
still	vẫn, vẫn còn
strict	nghiêm khắc
stubborn	bướng bỉnh
student	học sinh
stupid	ngu ngốc
such	như thế, như vậy, như là
take	cầm, nắm, giữ
take action	hành động
take care (of)	sự giữ gìn
talented	tài năng, có tài
tell	nói, nói lên, nói ra
than	hơn(đễ diễn đạt sựu so sánh)
that	người ấy, người đó, vật đó
them	chúng, chúng nó, họ
then	khi đó, lúc đó, sau đó
there	ở nơi đó, tại nơi đó
these	cái này, điều này, việc này
they	chúng, chúng nó, họ
thing	đồ, vật, thứ, điều
think	nghĩ, suy nghĩ, ngẫm nghĩ
this	cái này, điều này, việc này
three	số ba
through	xuyên qua
time	thời gian, thì giờ
to	theo hướng, hướng tới, đến
together	cùng với, cùng nhau, lại với nhau
too	cũng, quá
traffic lights	đèn giao thông
two	số hai
unable	(adj) /'ʌn'eibl/ không có năng lực, không có tài
unacceptable	adj.  /'ʌnək'septəbl/
under	dưới
understanding	hiểu biết
unemployed	adj. /¸ʌnim´plɔid/ thất nghiệp; không dùng, không sử dụng được
unemployment	n. /'Δnim'ploimзnt/ sự thất nghiệp, nạn thất nghiệp
unknown	adj. /'ʌn'noun/  không biết
unload	v. /ʌn´loud/ cất gánh nặng, dỡ hàng
unnecessary	adj. /ʌn'nesisəri/  không cần thiết, không mong muốn
up	lên
us	chúng tôi, chúng ta
use	dùng, sử dụng
very	rất, lắm, hết sức
want	muốn, muốn nó, đòi hỏi
water	nước, dung dịch nước
way	đường, đường đi, lối đi
we	chúng tôi, chúng ta
well	tốt, giỏi, hay
well	known adj. /´wel´noun/ nổi tiếng, được nhiều người biết đến
what	gì, thế nào
when	vào lúc nào, vào dịp nào, khi nào
where	đâu, ở đâu, ở nơi nào
which	gì, cái nào, người nào, ai (ngụ ý chọn lựa)
while	lúc, chốc, lát
who	ai, người nào, kẻ nào
why	tại sao, vì sao
will	sẽ (tương lai)
wise	thông thái, uyên bác
with	với, cùng, cùng với
word	từ
work	làm, làm việc
world	thế giới, toàn cầu
write	viết
year	năm
﻿a font	thấu triệt, cặn kẽ, rõ ngọn ngành
